Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,40257.4,41778.1,45678.6,50010.1,53823.6,56133.8,60751.8,66007.5,68394.4,71610,76043.3,81260.1,84562.8,90098.5,95819.1,100145.9,104087.4,109404.3,115030.9,119242.4,122449.3,127792.3,133739.2,146524.7,155970.4,163853.6,169678.4,172686.8,168348,174753,181349.8,186299,191481,194211,200402.7,203829.8
Alaska,21823.6,23460.6,22591.2,23787.5,26142.5,19180.7,22925.4,21270,23453.3,25039.5,22282.5,22752.8,23284.2,23604.7,25448.8,26736.9,25744.8,24170.4,24732.6,26778.3,28420.4,29605.3,31799.7,34970.7,39774.8,44435.3,48972.6,54752.4,49585.9,52882.5,56259.9,57670.1,56622.8,55523.4,50641.6,49363.4
Arizona,34268.6,35793.7,39774,46135,50708.7,55880.9,60046.7,64944.6,67895.5,70631.7,73358.3,82682.2,89299.8,100374.2,109905.7,119530.2,132418,143392.4,155344.5,164611.6,171474.2,179413.3,192751.2,205420.8,228231.2,248230.7,262322,259366.7,243929.4,248210,257947.8,268288.8,275199.1,284430,297141.2,311091
Arkansas,22890.8,23527,25291.9,28464.7,29325.7,30798.5,32663.6,35004.5,37127.6,38679.8,41571.7,45017.8,47566,51415.9,54611.8,57976.4,59865.6,62442.5,66816.7,68770,70601.4,73950.4,78218.8,84624.5,89610,94384.5,96948.2,98955.3,97058.9,101690,106085.4,108745.2,114251.5,117336.7,118761.2,120374.8
California,368808.4,393787.7,426143.2,482166.1,523905.8,563081.9,615359.5,671575,722978.9,773460,790045.6,807358.4,826446.9,861360,911576.8,964185.5,1070523.6,1147841.6,1247093,1366561,1384111.2,1436430.9,1527294,1632216.9,1753866.2,1874737.3,1955856,1990678.2,1920061.8,1974614.5,2050056.8,2144497.3,2262771.2,2395162.3,2553772.2,2657797.6
Colorado,43974.1,47654,50717.6,56230,59640.7,60969.7,63919.8,67757.3,71179.2,75570.5,79766.2,87302.1,95658.7,104506.8,112707.9,121081,136675.3,150381.7,164226.8,180605.5,187571.9,190962.8,196483.7,203980.2,219907.9,231205.9,246043.5,255566.8,248593.6,255140.5,264431.6,273519.5,288305.2,306571.1,318554.9,329368.3
Connecticut,45641.6,50196.2,55528.1,63617.9,69231.3,75305.4,82983.7,90706.7,95830.7,100169,101474.7,105758.8,107680,113115.1,123212.2,129111.3,138648.8,145495.4,152338.1,165898.7,173127.2,176208.2,181339.7,198662.4,208766.2,222889.1,237542.7,240910.9,236393.2,237653.4,236523.7,243801,246632,248865.2,260072.6,263696.4
Delaware,8838.8,9498.5,10611,11925.2,13092.4,14138.1,15567.9,16887.4,18900.3,19928.3,21746,22907.1,23508.6,25637.9,27720.9,29156.5,32967.7,36783.2,40363.6,43389.4,46448.3,45757.9,47761.6,51449.4,52154.1,55067.4,56278.5,54787.5,56871.2,57447.4,60357.4,61975.8,60666.1,66891,70969.4,69549.7
District of Columbia,21739.9,22958.1,24572.7,26583.8,28534.5,30078.6,32129.3,35225.5,37469.1,39688.4,41430,43186.5,45356.2,46654.8,47093.9,47822.9,52451.9,54879.8,58832.1,61095.5,65565.9,70054.7,74090.3,80471.3,85304.9,88517.2,93970,99478.5,100894.6,106120.3,110076.2,112736.5,114891,119841,125211.9,129826.1
Florida,112166.8,122281.9,136768.3,155993.5,170893.8,185852,204816.4,224848.2,241633.2,256589.3,267669.1,284672.6,304403,327167.4,346951.2,370912.5,401723,430064.2,458318.6,489488.1,516689.6,548540.3,583725.7,635525.5,696741.1,744464.2,768661,750501.6,724582.2,737791.1,746787.5,769309.1,800704.1,839484.1,895146.2,938774.2
Georgia,63750.7,68451.2,76737.6,88466.4,98222.5,108088.9,117032.8,126565.2,133793.9,140646.1,147759.8,160061.8,171658.9,187995.6,203397.1,219989,242596.2,264894.9,288994.3,307611.6,318753,326929.6,340410.6,364255.2,386785,402144.6,415131.9,412911.9,407024.5,416883.8,429574,444132.2,460585.1,485816.7,513565.6,539525.1
Hawaii,14639.5,15740.4,17260.3,19132.3,20721.7,22437,24272.6,26799,29427.2,32534.3,34356.7,36129.5,36732.4,37394.9,37763.1,38124.6,37654.9,37624.4,39250.4,41500.2,42894.3,45447.1,48929.1,53761.8,58667.9,62365,65233.5,66864.7,65692,68196.9,70482.6,73582.7,75788.3,77854.3,82710,85843.8
Idaho,10677.4,10689.3,11834.2,12585.9,13043.9,13220.2,13996,15285.3,16908.6,18004.2,18851.7,20631.6,23099.8,25455.5,27762.4,28914.6,29439,30983.9,34138.2,37992.8,37384.1,38715.3,40341.8,43739,47962.9,50976.3,53852.1,55546,53775,55170.7,56488.1,57764.4,61017.7,63521.8,66004.3,69029.4
Illinois,159649.3,164266.6,173119.3,194244.3,206281.1,218695.6,231210.1,252196.8,266607.9,279019.1,288473.5,306236.3,320078.9,347971.5,364450.7,383504.1,415770.7,436166.7,459322.1,487212.7,502260.3,514063.8,529455.4,558748.4,586693.9,621859.9,647862.1,646366.6,644690.1,662637.8,688288.9,720702.3,739627.9,765347.7,792999.4,806315.5
Indiana,64724.3,64982,69334.8,78858.8,82010.6,86437.5,91650.5,99492.5,107198.7,110859.6,114637,124714.3,132108.2,143335.2,150403.9,158350.1,170545.3,184582.1,193100.6,203052.9,204581.1,212430.3,223495.3,236935.8,243738.3,255054.6,269053.6,272845.6,261238.3,280120.7,288749.1,297552.7,308681.7,324934.5,330032.2,338126.1
Iowa,38272.1,37289.3,37480.8,41264,42431,43225.9,45282.8,49088.5,52907.1,56121.5,57944.2,61870.3,63385.5,70161,73136.6,78819.2,82572.2,84546.9,87662.3,93028.6,94770.8,98976.1,105073.5,116652.5,122224,126884.2,136977,136553.6,136251.2,141482,147227,157250.8,160299.8,171561,178472.6,179546.6
Kansas,31978.3,33491.4,35257.1,38442.1,40658.3,41794.8,44163.8,46698.1,48814,51873.7,53980.7,56901.7,58953.2,63304.1,65281.9,69616.1,74664.6,78478.8,81853,85853.2,88380.4,90949.3,94603.5,97676.4,103936.6,112650.3,122453.3,127682.4,124340.7,127744.8,135315.3,140477.8,143220.7,148225.6,152374.1,156857.4
