Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,7714,8212,8773,9650,10259,10808,11311,12237,13211,13999,14682,15624,16091,16784,17551,18135,18849,19893,20446,21337,22024,22945,24020,25669,26677,27833,28866,29599,29621,30606,31465,32397,32362,33434,34510,34942
Alaska,14465,16724,16958,17354,18225,18231,17483,18253,19486,20293,20747,21496,22235,22772,23410,23838,24863,25721,26378,28181,29487,31069,32468,33632,35249,37009,39266,42604,43001,45128,47524,48834,47543,50360,51729,50557
Arizona,9371,9749,10545,11550,12324,12989,13446,14203,14803,15248,15643,16225,16763,17529,18295,18963,19830,20928,21438,22610,23234,24092,25198,26820,28439,30516,31508,31614,30460,30533,31317,32425,32594,34072,35148,36036
Arkansas,7574,7906,8432,9414,9940,10456,10797,11608,12394,12974,13615,14653,15111,15758,16467,17207,17768,18620,19211,19948,20938,21663,23030,24338,25156,26330,27606,28342,28190,28914,30405,32628,32342,34190,35074,35735
California,11375,12014,12736,13871,14571,15275,15873,16991,17647,18478,19013,19884,20183,20653,21444,22311,23162,24652,25559,27269,28447,29638,30982,32720,33886,36145,37221,37626,37205,38376,40119,42356,42120,44609,47203,48984
Colorado,10581,11287,12199,13195,13780,14242,14616,15498,16507,17254,17896,18840,19674,20475,21657,22639,23584,25348,26584,28692,29780,30146,30804,31627,32992,34704,36083,36844,35514,35924,38005,39917,41061,43939,44955,44926
Connecticut,11641,12514,13627,15244,16116,17119,18362,20356,22023,22721,22909,24358,24983,25635,26806,27516,28829,30679,32095,34576,36392,37733,38440,40303,41720,44778,47457,50924,52069,53631,54226,55100,52693,55215,56568,58355
Delaware,9745,10577,11288,12413,13321,13937,14918,16155,17647,18273,19132,19657,20057,20468,21316,22274,22718,24831,26406,28950,31747,33128,33664,34403,34246,35650,36146,35302,36366,36410,38662,38912,38887,40403,41955,42408
District of Columbia,11952,12825,13657,14876,15693,16450,17242,19241,20546,22229,23674,25138,26367,27057,27684,28973,30227,31900,32862,35855,37069,38532,39407,42939,44925,47247,49952,51238,52088,55160,57707,58111,57187,60026,63076,65108
Florida,9898,10331,11377,12453,13094,13736,14438,15528,16816,17494,17899,18574,19279,19832,20844,21513,22087,23278,23970,25401,26333,27254,28534,30141,31714,33843,34864,34830,33294,34928,35938,36781,36011,38066,39716,40479
